Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,25.1,30,22,-,57,0,10,11.5,18.3
2,26.2,31,22,-,59,0,9.8,9.3,18.3
3,27.3,32,23,-,70,0,9.8,6.3,11.1
4,27.8,33,24,-,66,-,9.3,7.4,16.5
5,27.6,32,24,-,70,0,10,7.2,14.8
6,28.1,32,24,-,69,0,10,5.7,11.1
7,28.1,34,24,-,67,0,9,5.9,16.5
8,27.6,34,23,-,67,0,8.4,6.7,16.5
9,26.9,33,21,-,59,0,9.7,6.3,14.8
10,26.1,31,22,-,65,0,9.2,5.4,11.1
11,26.3,32,21,-,58,0,10,8.3,16.5
12,24.4,31,19,-,54,0,10,9.6,16.5
13,23.7,28,18,-,64,0,9.3,6.9,14.8
14,24.9,30,19,-,69,0,8.5,6.3,14.8
15,25.6,31,21,-,67,0,8.2,7.6,18.3
16,26,32,21,-,69,0,8.7,8.7,18.3
17,25.9,32,20,-,55,0,9.7,11.3,20.6
18,25.6,31,20,-,50,0,9.8,9.6,18.3
19,24.4,28,20,-,65,0,7.7,5.4,14.8
20,26.8,31,22,-,67,0,7.1,7.4,13
21,27.2,32,24,-,72,0,8,8.5,16.5
22,26.4,31,24,-,82,-,7.7,8.5,13
23,27.1,32,24,-,73,-,8.9,6.7,22.2
24,26.8,31,24,-,75,0,9,7.6,18.3
25,27.2,32,24,-,75,0,8.2,6.1,20.6
26,27.8,33,24,-,66,0,8.4,6.9,18.3
27,27.4,33,24,-,69,0,8.9,8,16.5
28,26.9,33,23,-,69,0,8.7,8.9,18.3
29,26.8,33,21,-,55,0,9.2,8,14.8
